Travel time,Population,Percentage of the population
>120,40147354.9215473,74.8231657554175
91-120,2861660.55391932,5.33331529262781
61-90,2205232.9581778,4.10992234685154
31-60,1989857.822703,3.70852480789244
<=30,6452210.62922955,12.0250717972108
